rownames	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	geneid	species
Ssus11-ENSSSCG00000032599	1.55E-154	0.740377118	0.433	0.198	2.38E-150	0	Ssus11-ENSSSCG00000032599	ENSSSCG00000032599	Suss11
Ssus11-FBLN5	3.89E-151	-0.512544721	0.09	0.434	6.00E-147	0	Ssus11-FBLN5	FBLN5	Suss11
Ssus11-ENSSSCG00000039825	9.88E-148	-0.754730382	0.023	0.314	1.52E-143	0	Ssus11-ENSSSCG00000039825	ENSSSCG00000039825	Suss11
Ssus11-ENSSSCG00000033734	1.40E-147	0.626152161	0.804	0.551	2.16E-143	0	Ssus11-ENSSSCG00000033734	ENSSSCG00000033734	Suss11
Ssus11-MGP	2.08E-147	-0.936132833	0.996	0.995	3.21E-143	0	Ssus11-MGP	MGP	Suss11
Ssus11-FTL	1.26E-146	0.425423856	1	0.998	1.94E-142	0	Ssus11-FTL	FTL	Suss11
Ssus11-TINAGL1	3.97E-145	-0.645893371	0.167	0.489	6.12E-141	0	Ssus11-TINAGL1	TINAGL1	Suss11
Ssus11-CPT1B	3.00E-144	-0.57798065	0.105	0.43	4.62E-140	0	Ssus11-CPT1B	CPT1B	Suss11
Ssus11-LDB3	1.24E-143	-0.757984777	0.023	0.308	1.91E-139	0	Ssus11-LDB3	LDB3	Suss11
Ssus11-MYH7B	2.13E-143	-0.625389265	0.02	0.304	3.29E-139	0	Ssus11-MYH7B	MYH7B	Suss11
Ssus11-CSTB	2.76E-143	0.334906352	0.997	0.773	4.25E-139	0	Ssus11-CSTB	CSTB	Suss11
Ssus11-RAMP1	6.86E-143	-0.63682707	0.073	0.387	1.06E-138	0	Ssus11-RAMP1	RAMP1	Suss11
Ssus11-ENO1	3.13E-141	0.619207467	0.962	0.757	4.82E-137	0	Ssus11-ENO1	ENO1	Suss11
Ssus11-EEF1A2	9.16E-141	-1.090071053	0.093	0.381	1.41E-136	0	Ssus11-EEF1A2	EEF1A2	Suss11
Ssus11-TNNT1	1.95E-140	-0.831123887	0.037	0.324	3.01E-136	0	Ssus11-TNNT1	TNNT1	Suss11
Ssus11-S100A11	5.71E-140	0.504267739	0.998	0.908	8.80E-136	0	Ssus11-S100A11	S100A11	Suss11
Ssus11-CASQ2	8.72E-139	-0.756904049	0.055	0.35	1.34E-134	0	Ssus11-CASQ2	CASQ2	Suss11
Ssus11-RPLP2	1.71E-137	0.380845696	1	0.992	2.63E-133	0	Ssus11-RPLP2	RPLP2	Suss11
Ssus11-TSC22D3	2.74E-137	-0.618107658	0.087	0.395	4.22E-133	0	Ssus11-TSC22D3	TSC22D3	Suss11
Ssus11-MATN4	4.19E-137	-0.776979263	0.079	0.388	6.45E-133	0	Ssus11-MATN4	MATN4	Suss11
Ssus11-THBS4	5.07E-137	-1.1794088	0.948	0.915	7.81E-133	0	Ssus11-THBS4	THBS4	Suss11
Ssus11-TNNI3	1.11E-136	-0.744748	0.012	0.279	1.71E-132	0	Ssus11-TNNI3	TNNI3	Suss11
Ssus11-CKMT2	3.32E-136	-0.91565182	0.022	0.294	5.11E-132	0	Ssus11-CKMT2	CKMT2	Suss11
Ssus11-LMOD2	6.21E-136	-0.71420917	0.035	0.314	9.56E-132	0	Ssus11-LMOD2	LMOD2	Suss11
Ssus11-ENSSSCG00000037274	1.16E-135	0.556882891	0.993	0.891	1.78E-131	0	Ssus11-ENSSSCG00000037274	ENSSSCG00000037274	Suss11
Ssus11-ENSSSCG00000031608	4.30E-135	-0.760194077	0.023	0.294	6.63E-131	0	Ssus11-ENSSSCG00000031608	ENSSSCG00000031608	Suss11
Ssus11-ENSSSCG00000013366	5.36E-134	0.650600875	0.705	0.474	8.26E-130	0	Ssus11-ENSSSCG00000013366	ENSSSCG00000013366	Suss11
Ssus11-ENSSSCG00000015747	7.19E-134	-0.790070177	0.012	0.276	1.11E-129	0	Ssus11-ENSSSCG00000015747	ENSSSCG00000015747	Suss11
Ssus11-GCK	1.64E-133	-1.034915801	0.053	0.339	2.52E-129	0	Ssus11-GCK	GCK	Suss11
Ssus11-ENSSSCG00000004578	7.63E-133	0.561811849	0.993	0.827	1.18E-128	0	Ssus11-ENSSSCG00000004578	ENSSSCG00000004578	Suss11
GRCh38-TPM1	1.42E-132	-1.779700609	0.05	0.329	2.19E-128	0	GRCh38-TPM1	TPM1	GRCh38
Ssus11-PGAM2	1.05E-128	-0.571224801	0.04	0.314	1.61E-124	0	Ssus11-PGAM2	PGAM2	Suss11
Ssus11-PDK4	4.15E-128	-0.500431724	0.012	0.268	6.40E-124	0	Ssus11-PDK4	PDK4	Suss11
Ssus11-MFAP5	6.30E-128	-0.476776836	0.078	0.376	9.70E-124	0	Ssus11-MFAP5	MFAP5	Suss11
Ssus11-MFAP4	8.55E-128	-0.746728393	0.805	0.835	1.32E-123	0	Ssus11-MFAP4	MFAP4	Suss11
Ssus11-ALDOA	1.56E-127	-0.524789044	0.132	0.443	2.41E-123	0	Ssus11-ALDOA	ALDOA	Suss11
Ssus11-PYGB	3.30E-127	-0.701124676	0.036	0.302	5.08E-123	0	Ssus11-PYGB	PYGB	Suss11
Ssus11-CTSS	4.19E-127	0.47410603	0.871	0.561	6.45E-123	0	Ssus11-CTSS	CTSS	Suss11
Ssus11-ENSSSCG00000003839	8.51E-127	-0.548109869	0.128	0.44	1.31E-122	0	Ssus11-ENSSSCG00000003839	ENSSSCG00000003839	Suss11
Ssus11-OGN	1.48E-126	-0.593147095	0.11	0.424	2.28E-122	0	Ssus11-OGN	OGN	Suss11
Ssus11-GADD45B	1.88E-126	-0.528655772	0.134	0.442	2.89E-122	0	Ssus11-GADD45B	GADD45B	Suss11
GRCh38-MYH7	1.15E-125	-1.966519882	0.048	0.312	1.77E-121	0	GRCh38-MYH7	MYH7	GRCh38
Ssus11-RRAD	2.36E-125	-0.632086488	0.088	0.384	3.64E-121	0	Ssus11-RRAD	RRAD	Suss11
Ssus11-PRDX1	4.88E-125	0.555463351	0.931	0.68	7.52E-121	0	Ssus11-PRDX1	PRDX1	Suss11
Ssus11-TSC22D1	8.36E-125	-0.590871017	0.192	0.491	1.29E-120	0	Ssus11-TSC22D1	TSC22D1	Suss11
Ssus11-SORBS2	3.00E-124	-0.567293007	0.066	0.348	4.63E-120	0	Ssus11-SORBS2	SORBS2	Suss11
Ssus11-PDLIM5	3.02E-124	-0.679847216	0.128	0.421	4.65E-120	0	Ssus11-PDLIM5	PDLIM5	Suss11
Ssus11-YPEL3	3.08E-124	-0.460575576	0.141	0.457	4.75E-120	0	Ssus11-YPEL3	YPEL3	Suss11
Ssus11-MXRA8	6.73E-124	-0.491509768	0.14	0.455	1.04E-119	0	Ssus11-MXRA8	MXRA8	Suss11
Ssus11-COQ8A	8.02E-124	-0.416899728	0.038	0.305	1.24E-119	0	Ssus11-COQ8A	COQ8A	Suss11
Ssus11-SRL	8.72E-124	-0.590211774	0.032	0.292	1.34E-119	0	Ssus11-SRL	SRL	Suss11
Ssus11-ENSSSCG00000006928	4.65E-123	-0.449864658	0.158	0.48	7.17E-119	0	Ssus11-ENSSSCG00000006928	ENSSSCG00000006928	Suss11
Ssus11-DNAJB4	4.77E-123	-0.469683528	0.061	0.338	7.35E-119	0	Ssus11-DNAJB4	DNAJB4	Suss11
Ssus11-PTP4A3	7.82E-122	-0.552483756	0.047	0.312	1.20E-117	0	Ssus11-PTP4A3	PTP4A3	Suss11
Ssus11-NRAP	3.12E-121	-0.569996186	0.027	0.281	4.81E-117	0	Ssus11-NRAP	NRAP	Suss11
Ssus11-CLSTN1	5.45E-121	-0.420086217	0.106	0.401	8.39E-117	0	Ssus11-CLSTN1	CLSTN1	Suss11
Ssus11-NDRG2	5.76E-121	-0.421351718	0.065	0.343	8.87E-117	0	Ssus11-NDRG2	NDRG2	Suss11
Ssus11-AOPEP	1.72E-120	-0.460330029	0.145	0.455	2.65E-116	0	Ssus11-AOPEP	AOPEP	Suss11
Ssus11-SLC12A7	2.72E-120	-0.460664749	0.121	0.417	4.19E-116	0	Ssus11-SLC12A7	SLC12A7	Suss11
Ssus11-HSPB8	4.70E-120	-0.693544913	0.028	0.281	7.24E-116	0	Ssus11-HSPB8	HSPB8	Suss11
Ssus11-ENSSSCG00000040118	5.80E-120	-0.511738972	0.932	0.922	8.94E-116	0	Ssus11-ENSSSCG00000040118	ENSSSCG00000040118	Suss11
Ssus11-PFKM	3.00E-119	-0.600206157	0.048	0.309	4.62E-115	0	Ssus11-PFKM	PFKM	Suss11
GRCh38-TNNC1	3.08E-119	-1.494681843	0.034	0.286	4.75E-115	0	GRCh38-TNNC1	TNNC1	GRCh38
Ssus11-ITGA7	3.55E-119	-0.622909353	0.194	0.494	5.47E-115	0	Ssus11-ITGA7	ITGA7	Suss11
Ssus11-PHLDB1	4.14E-119	-0.445468355	0.161	0.471	6.38E-115	0	Ssus11-PHLDB1	PHLDB1	Suss11
Ssus11-NEBL	9.53E-119	-0.925355	0.128	0.394	1.47E-114	0	Ssus11-NEBL	NEBL	Suss11
Ssus11-SPTAN1	1.13E-118	-0.404438865	0.139	0.449	1.74E-114	0	Ssus11-SPTAN1	SPTAN1	Suss11
Ssus11-TXNIP	1.69E-118	-0.605128694	0.162	0.471	2.60E-114	0	Ssus11-TXNIP	TXNIP	Suss11
Ssus11-ENSSSCG00000005453	1.09E-117	0.509480771	0.942	0.715	1.68E-113	0	Ssus11-ENSSSCG00000005453	ENSSSCG00000005453	Suss11
GRCh38-MYL3	1.54E-117	-1.564510493	0.027	0.272	2.37E-113	0	GRCh38-MYL3	MYL3	GRCh38
Ssus11-C11orf1	2.46E-117	-0.466428103	0.056	0.324	3.79E-113	0	Ssus11-C11orf1	C11orf1	Suss11
Ssus11-VIM	8.91E-117	0.398589344	1	0.972	1.37E-112	0	Ssus11-VIM	VIM	Suss11
Ssus11-NDUFA1	1.06E-116	-0.563787918	0.127	0.414	1.64E-112	0	Ssus11-NDUFA1	NDUFA1	Suss11
Ssus11-CLEC3B	4.85E-116	-0.440675486	0.037	0.289	7.48E-112	0	Ssus11-CLEC3B	CLEC3B	Suss11
Ssus11-ACTA2	1.36E-115	0.346737614	0.974	0.716	2.10E-111	0	Ssus11-ACTA2	ACTA2	Suss11
Ssus11-CDH13	1.76E-115	-0.483934174	0.047	0.304	2.71E-111	0	Ssus11-CDH13	CDH13	Suss11
Ssus11-ACADVL	2.71E-115	-0.519359988	0.125	0.413	4.18E-111	0	Ssus11-ACADVL	ACADVL	Suss11
Ssus11-NDUFB11	7.31E-115	-0.469555391	0.167	0.474	1.13E-110	0	Ssus11-NDUFB11	NDUFB11	Suss11
Ssus11-RPSA	2.44E-114	0.42001288	0.999	0.984	3.76E-110	0	Ssus11-RPSA	RPSA	Suss11
Ssus11-SFRP2	2.60E-114	0.423083981	0.986	0.71	4.01E-110	0	Ssus11-SFRP2	SFRP2	Suss11
Ssus11-MAPK12	6.06E-114	-0.399065054	0.076	0.345	9.34E-110	0	Ssus11-MAPK12	MAPK12	Suss11
Ssus11-DNAJB1	9.39E-114	-0.473782285	0.106	0.389	1.45E-109	0	Ssus11-DNAJB1	DNAJB1	Suss11
Ssus11-SH3BGR	9.44E-114	-0.587751107	0.081	0.35	1.45E-109	0	Ssus11-SH3BGR	SH3BGR	Suss11
Ssus11-TRIM63	2.40E-113	-0.483900301	0.019	0.255	3.70E-109	0	Ssus11-TRIM63	TRIM63	Suss11
Ssus11-DNAJA4	3.85E-113	-0.474075123	0.014	0.247	5.93E-109	0	Ssus11-DNAJA4	DNAJA4	Suss11
Ssus11-AQP1	6.68E-113	-0.392411307	0.06	0.326	1.03E-108	0	Ssus11-AQP1	AQP1	Suss11
Ssus11-FLNC	9.06E-113	-0.83294438	0.208	0.46	1.40E-108	0	Ssus11-FLNC	FLNC	Suss11
Ssus11-ITIH5	3.02E-112	-0.403059374	0.066	0.334	4.65E-108	0	Ssus11-ITIH5	ITIH5	Suss11
Ssus11-CAMK2D	3.90E-112	-0.504383241	0.109	0.387	6.01E-108	0	Ssus11-CAMK2D	CAMK2D	Suss11
Ssus11-S100A6	4.72E-112	0.434723861	0.992	0.76	7.27E-108	0	Ssus11-S100A6	S100A6	Suss11
Ssus11-PDE4DIP	5.30E-112	-0.505091865	0.039	0.287	8.16E-108	0	Ssus11-PDE4DIP	PDE4DIP	Suss11
Ssus11-MYOM1	8.46E-112	-0.447286665	0.025	0.262	1.30E-107	0	Ssus11-MYOM1	MYOM1	Suss11
Ssus11-CCN1	1.07E-111	-0.50673204	0.137	0.427	1.65E-107	0	Ssus11-CCN1	CCN1	Suss11
Ssus11-CTSB	1.18E-111	0.402311387	0.998	0.881	1.81E-107	0	Ssus11-CTSB	CTSB	Suss11
Ssus11-ENSSSCG00000007554	5.33E-111	-0.52800264	0.05	0.301	8.21E-107	0	Ssus11-ENSSSCG00000007554	ENSSSCG00000007554	Suss11
Ssus11-RPL27	2.17E-110	0.47751294	0.993	0.931	3.34E-106	0	Ssus11-RPL27	RPL27	Suss11
Ssus11-CAV3	4.77E-110	-0.477481247	0.034	0.277	7.35E-106	0	Ssus11-CAV3	CAV3	Suss11
Ssus11-SORBS1	5.10E-110	-0.423922188	0.025	0.261	7.85E-106	0	Ssus11-SORBS1	SORBS1	Suss11
Ssus11-TIMP3	5.29E-110	-0.42414027	0.092	0.367	8.14E-106	0	Ssus11-TIMP3	TIMP3	Suss11
Ssus11-LAPTM4B	5.68E-110	-0.405575994	0.172	0.482	8.75E-106	0	Ssus11-LAPTM4B	LAPTM4B	Suss11
Ssus11-CRAT	8.97E-109	-0.409790616	0.122	0.408	1.38E-104	0	Ssus11-CRAT	CRAT	Suss11
Ssus11-UBB	4.33E-108	-0.386771102	1	0.992	6.66E-104	0	Ssus11-UBB	UBB	Suss11
Ssus11-COQ9	5.20E-107	-0.384455118	0.066	0.321	8.01E-103	0	Ssus11-COQ9	COQ9	Suss11
Ssus11-C4A	6.66E-107	-0.501082074	0.044	0.288	1.03E-102	0	Ssus11-C4A	C4A	Suss11
Ssus11-TSPAN12	7.66E-107	-0.625719008	0.086	0.339	1.18E-102	0	Ssus11-TSPAN12	TSPAN12	Suss11
Ssus11-CRY2	1.54E-106	-0.353415663	0.029	0.261	2.37E-102	0	Ssus11-CRY2	CRY2	Suss11
Ssus11-CCK	2.21E-106	-0.67269016	0.038	0.274	3.41E-102	0	Ssus11-CCK	CCK	Suss11
GRCh38-TNNT2	3.54E-106	-1.419518085	0.021	0.245	5.45E-102	0	GRCh38-TNNT2	TNNT2	GRCh38
GRCh38-MYL4	3.56E-106	-1.436504262	0.029	0.258	5.48E-102	0	GRCh38-MYL4	MYL4	GRCh38
GRCh38-TNNI1	4.68E-106	-1.314794648	0.03	0.259	7.21E-102	0	GRCh38-TNNI1	TNNI1	GRCh38
GRCh38-HSPB1	5.10E-106	-1.700438803	0.016	0.237	7.85E-102	0	GRCh38-HSPB1	HSPB1	GRCh38
Ssus11-DHRS4	8.30E-106	-0.476643877	0.072	0.323	1.28E-101	0	Ssus11-DHRS4	DHRS4	Suss11
Ssus11-NENF	1.24E-105	-0.380967693	0.185	0.49	1.92E-101	0	Ssus11-NENF	NENF	Suss11
Ssus11-LYNX1	2.14E-105	-0.399990099	0.039	0.277	3.30E-101	0	Ssus11-LYNX1	LYNX1	Suss11
Ssus11-MYOT	5.89E-105	-0.492506284	0.018	0.241	9.07E-101	0	Ssus11-MYOT	MYOT	Suss11
Ssus11-ACOT13	2.62E-104	-0.41407909	0.047	0.286	4.04E-100	0	Ssus11-ACOT13	ACOT13	Suss11
Ssus11-S100A1	2.96E-104	-0.817755305	0.181	0.431	4.56E-100	0	Ssus11-S100A1	S100A1	Suss11
Ssus11-HOMER2	3.46E-104	-0.523028208	0.039	0.272	5.33E-100	0	Ssus11-HOMER2	HOMER2	Suss11
GRCh38-GAPDH	3.81E-104	-1.609384331	0.038	0.267	5.88E-100	0	GRCh38-GAPDH	GAPDH	GRCh38
Ssus11-GABARAPL1	5.55E-104	-0.359279718	0.065	0.317	8.54E-100	0	Ssus11-GABARAPL1	GABARAPL1	Suss11
Ssus11-SRGN	3.05E-103	0.579016848	0.674	0.466	4.69E-99	0	Ssus11-SRGN	SRGN	Suss11
Ssus11-C7	2.42E-102	-0.419377715	0.04	0.273	3.73E-98	0	Ssus11-C7	C7	Suss11
Ssus11-HADHB	3.61E-102	-0.612666966	0.153	0.42	5.56E-98	0	Ssus11-HADHB	HADHB	Suss11
Ssus11-ENSSSCG00000009303	4.38E-102	0.362096389	0.999	0.988	6.75E-98	0	Ssus11-ENSSSCG00000009303	ENSSSCG00000009303	Suss11
Ssus11-ENSSSCG00000033457	2.31E-101	0.582942332	0.585	0.371	3.55E-97	0	Ssus11-ENSSSCG00000033457	ENSSSCG00000033457	Suss11
Ssus11-CDC34	7.95E-101	-0.395113006	0.179	0.473	1.22E-96	0	Ssus11-CDC34	CDC34	Suss11
Ssus11-CLIC5	1.13E-100	-0.385628193	0.022	0.241	1.75E-96	0	Ssus11-CLIC5	CLIC5	Suss11
GRCh38-NPPA	3.22E-100	-1.411347396	0.008	0.215	4.96E-96	0	GRCh38-NPPA	NPPA	GRCh38
Ssus11-CTSF	6.91E-100	-0.449232297	0.268	0.544	1.07E-95	0	Ssus11-CTSF	CTSF	Suss11
Ssus11-DPT	1.11E-99	-0.552129814	0.288	0.541	1.72E-95	0	Ssus11-DPT	DPT	Suss11
Ssus11-ABRA	1.30E-99	-0.43497538	0.005	0.208	2.01E-95	0	Ssus11-ABRA	ABRA	Suss11
Ssus11-ASB2	1.63E-99	-0.405818764	0.012	0.22	2.52E-95	0	Ssus11-ASB2	ASB2	Suss11
Ssus11-CALM1	4.07E-99	0.525042694	0.939	0.781	6.27E-95	0	Ssus11-CALM1	CALM1	Suss11
Ssus11-TLE5	7.41E-99	-0.356300033	0.107	0.372	1.14E-94	0	Ssus11-TLE5	TLE5	Suss11
Ssus11-SEC61B	2.22E-98	0.495388806	0.832	0.621	3.41E-94	0	Ssus11-SEC61B	SEC61B	Suss11
Ssus11-GOT1	2.36E-98	-0.446060864	0.044	0.272	3.64E-94	0	Ssus11-GOT1	GOT1	Suss11
Ssus11-LGMN	3.29E-98	0.445535451	0.961	0.719	5.06E-94	0	Ssus11-LGMN	LGMN	Suss11
Ssus11-ENSSSCG00000038991	5.90E-98	-0.34431298	0.166	0.462	9.10E-94	0	Ssus11-ENSSSCG00000038991	ENSSSCG00000038991	Suss11
GRCh38-RPLP1	9.64E-98	-1.314099275	0.027	0.241	1.49E-93	0	GRCh38-RPLP1	RPLP1	GRCh38
Ssus11-RCAN1	1.65E-97	-0.417331991	0.051	0.28	2.55E-93	0	Ssus11-RCAN1	RCAN1	Suss11
Ssus11-RUSC2	3.46E-97	-0.35110644	0.051	0.282	5.33E-93	0	Ssus11-RUSC2	RUSC2	Suss11
GRCh38-MYL6	3.68E-97	-1.105185623	0.028	0.241	5.67E-93	0	GRCh38-MYL6	MYL6	GRCh38
Ssus11-NDUFA11	4.11E-97	-0.419997861	0.191	0.478	6.33E-93	0	Ssus11-NDUFA11	NDUFA11	Suss11
Ssus11-ENSSSCG00000031838	5.39E-97	0.307338611	1	0.998	8.30E-93	0	Ssus11-ENSSSCG00000031838	ENSSSCG00000031838	Suss11
Ssus11-ANKRD39	2.55E-96	-0.380502699	0.121	0.38	3.92E-92	0	Ssus11-ANKRD39	ANKRD39	Suss11
GRCh38-MT-CO3	3.62E-96	-1.478731679	0.051	0.274	5.58E-92	0	GRCh38-MT-CO3	MT-CO3	GRCh38
Ssus11-LGALS1	3.78E-96	0.304417829	1	0.988	5.82E-92	0	Ssus11-LGALS1	LGALS1	Suss11
Ssus11-IFI30	6.63E-96	0.366469893	0.825	0.527	1.02E-91	0	Ssus11-IFI30	IFI30	Suss11
Ssus11-CMYA5	1.53E-95	-0.402169038	0.025	0.239	2.36E-91	0	Ssus11-CMYA5	CMYA5	Suss11
Ssus11-RNASE4	1.61E-95	-0.352303248	0.123	0.394	2.48E-91	0	Ssus11-RNASE4	RNASE4	Suss11
Ssus11-ENSSSCG00000025525	2.10E-95	-0.359514969	0.125	0.387	3.24E-91	0	Ssus11-ENSSSCG00000025525	ENSSSCG00000025525	Suss11
Ssus11-ENSSSCG00000010893	5.89E-95	-0.390164672	0.082	0.326	9.07E-91	0	Ssus11-ENSSSCG00000010893	ENSSSCG00000010893	Suss11
GRCh38-RPL41	1.59E-94	-1.450924857	0.029	0.237	2.45E-90	0	GRCh38-RPL41	RPL41	GRCh38
Ssus11-ENSSSCG00000033019	2.08E-94	0.409658851	0.998	0.967	3.21E-90	0	Ssus11-ENSSSCG00000033019	ENSSSCG00000033019	Suss11
Ssus11-BTBD2	2.09E-94	-0.358516848	0.166	0.443	3.22E-90	0	Ssus11-BTBD2	BTBD2	Suss11
GRCh38-MT-CO2	5.22E-94	-1.723855817	0.049	0.268	8.04E-90	0	GRCh38-MT-CO2	MT-CO2	GRCh38
Ssus11-SMPX	8.55E-94	-0.545866761	0.059	0.286	1.32E-89	0	Ssus11-SMPX	SMPX	Suss11
Ssus11-MCRIP2	1.55E-93	-0.401183958	0.054	0.278	2.39E-89	0	Ssus11-MCRIP2	MCRIP2	Suss11
Ssus11-SELENOW	3.60E-93	-0.362029213	0.187	0.475	5.55E-89	0	Ssus11-SELENOW	SELENOW	Suss11
Ssus11-RBPMS	4.74E-93	-0.360551371	0.12	0.375	7.31E-89	0	Ssus11-RBPMS	RBPMS	Suss11
Ssus11-NDUFV1	9.20E-93	-0.367245732	0.195	0.483	1.42E-88	0	Ssus11-NDUFV1	NDUFV1	Suss11
Ssus11-FHL2	1.14E-92	-0.425672824	0.186	0.461	1.76E-88	0	Ssus11-FHL2	FHL2	Suss11
Ssus11-NDUFA10	2.08E-92	-0.367726924	0.148	0.413	3.21E-88	0	Ssus11-NDUFA10	NDUFA10	Suss11
Ssus11-ADI1	2.24E-92	-0.333606537	0.124	0.383	3.45E-88	0	Ssus11-ADI1	ADI1	Suss11
Ssus11-H2AJ	2.36E-92	-0.336933826	0.135	0.401	3.64E-88	0	Ssus11-H2AJ	H2AJ	Suss11
Ssus11-AK1	2.40E-92	-0.378230714	0.03	0.24	3.70E-88	0	Ssus11-AK1	AK1	Suss11
Ssus11-CDH2	3.14E-92	-0.393084485	0.039	0.255	4.84E-88	0	Ssus11-CDH2	CDH2	Suss11
Ssus11-PINK1	6.40E-92	-0.325757571	0.072	0.306	9.86E-88	0	Ssus11-PINK1	PINK1	Suss11
Ssus11-CLTB	7.42E-92	-0.346469376	0.198	0.483	1.14E-87	0	Ssus11-CLTB	CLTB	Suss11
Ssus11-LTBP2	1.26E-91	-0.453497146	0.056	0.278	1.95E-87	0	Ssus11-LTBP2	LTBP2	Suss11
Ssus11-FKBP4	1.87E-91	-0.535405155	0.226	0.48	2.88E-87	0	Ssus11-FKBP4	FKBP4	Suss11
Ssus11-FBXO32	2.11E-91	-0.324084985	0.073	0.31	3.25E-87	0	Ssus11-FBXO32	FBXO32	Suss11
Ssus11-PLSCR4	2.15E-91	-0.385234779	0.058	0.281	3.32E-87	0	Ssus11-PLSCR4	PLSCR4	Suss11
Ssus11-ENSSSCG00000025582	2.23E-91	-0.342773348	0.141	0.403	3.44E-87	0	Ssus11-ENSSSCG00000025582	ENSSSCG00000025582	Suss11
Ssus11-FAP	5.88E-91	-0.362274123	0.163	0.439	9.06E-87	0	Ssus11-FAP	FAP	Suss11
Ssus11-NDRG4	8.21E-91	-0.369532193	0.025	0.229	1.26E-86	0	Ssus11-NDRG4	NDRG4	Suss11
Ssus11-LTBP4	9.24E-91	-0.790163984	0.553	0.638	1.42E-86	0	Ssus11-LTBP4	LTBP4	Suss11
Ssus11-NDUFAB1	9.26E-91	-0.429668587	0.162	0.428	1.43E-86	0	Ssus11-NDUFAB1	NDUFAB1	Suss11
Ssus11-CD36	1.30E-90	-0.378850746	0.098	0.345	2.01E-86	0	Ssus11-CD36	CD36	Suss11
Ssus11-ENSSSCG00000032503	1.97E-90	-0.457684585	0.005	0.192	3.04E-86	0	Ssus11-ENSSSCG00000032503	ENSSSCG00000032503	Suss11
Ssus11-GNB2	2.21E-90	-0.32751871	0.121	0.374	3.40E-86	0	Ssus11-GNB2	GNB2	Suss11
Ssus11-TOLLIP	2.41E-90	-0.329620154	0.137	0.396	3.72E-86	0	Ssus11-TOLLIP	TOLLIP	Suss11
Ssus11-HERPUD1	2.62E-90	-0.389750282	0.192	0.47	4.03E-86	0	Ssus11-HERPUD1	HERPUD1	Suss11
GRCh38-ACTC1	6.88E-90	-1.705758192	0.054	0.267	1.06E-85	0	GRCh38-ACTC1	ACTC1	GRCh38
Ssus11-LIMS2	9.13E-90	-0.343590898	0.099	0.343	1.41E-85	0	Ssus11-LIMS2	LIMS2	Suss11
Ssus11-PPFIBP1	2.19E-89	-0.344136675	0.126	0.381	3.37E-85	0	Ssus11-PPFIBP1	PPFIBP1	Suss11
